# Meteoric Engine 脚本兼容入口基线 —— 自动生成，请勿手改
# generator: tools/contract/gen_script_surface.py
# schema: 1
# columns: kind<TAB>name<TAB>source_location
# counts: lua_unique=222 hscript_unique=183 pairs_unique=405 bare_name_unique=379 registrations=406 dynamic_sites=4
# 口径: pairs_unique = 唯一 (kind,name) 对数（= 契约条目数）；bare_name_unique = 跨命名空间去重后的裸名数（Lua 与 HScript 有 26 个同名，属两份独立契约）
# dynamic_sites: source/psychlua/FunkinLua.hx:112, source/psychlua/FunkinLua.hx:392, source/psychlua/HScript.hx:501, source/psychlua/MenuScript.hx:203
# 动态点口径: 名字非字面量（运行期由脚本经 FunkinLua.customFunctions / MenuScript.addLocalCallback 注册），基线只冻结内建字面量面。
# multi_site: lua.noteTweenAngle
# kind=lua    : source/psychlua/** 下 Lua_helper.add_callback 的字符串字面量
# kind=hscript: source/psychlua/HScript.hx 的 set('…') 预设变量
# 不变量：本文件中的名字只增不减；删除或改名 = 破坏 mod 兼容，必须人工评审。
hscript	Std	source/psychlua/HScript.hx:139
hscript	StoryMenuState	source/psychlua/HScript.hx:202
hscript	String	source/psychlua/HScript.hx:145
hscript	StringMap	source/psychlua/HScript.hx:256
hscript	StringTools	source/psychlua/HScript.hx:106
hscript	Sys	source/psychlua/HScript.hx:275
hscript	TitleState	source/psychlua/HScript.hx:203
hscript	TouchEvent	source/psychlua/HScript.hx:305
hscript	Transform	source/psychlua/HScript.hx:287
hscript	Type	source/psychlua/HScript.hx:140
hscript	WeekData	source/psychlua/HScript.hx:236
hscript	X	source/psychlua/HScript.hx:244
hscript	XY	source/psychlua/HScript.hx:246
hscript	Y	source/psychlua/HScript.hx:245
hscript	__newMap	source/psychlua/HScript.hx:467
hscript	add	source/psychlua/HScript.hx:548
hscript	addBehindBF	source/psychlua/HScript.hx:551
hscript	addBehindDad	source/psychlua/HScript.hx:550
hscript	addBehindGF	source/psychlua/HScript.hx:549
hscript	addHaxeLibrary	source/psychlua/HScript.hx:516
hscript	anyGamepadJustPressed	source/psychlua/HScript.hx:375
hscript	anyGamepadPressed	source/psychlua/HScript.hx:380
hscript	anyGamepadReleased	source/psychlua/HScript.hx:385
hscript	buildTarget	source/psychlua/HScript.hx:538
hscript	createCallback	source/psychlua/HScript.hx:508
hscript	createGlobalCallback	source/psychlua/HScript.hx:491
hscript	customSubstate	source/psychlua/HScript.hx:539
hscript	customSubstateName	source/psychlua/HScript.hx:540
hscript	debugPrint	source/psychlua/HScript.hx:483
hscript	fpsVar	source/psychlua/HScript.hx:301
hscript	game	source/psychlua/HScript.hx:537
hscript	gamepadAnalogX	source/psychlua/HScript.hx:391
hscript	gamepadAnalogY	source/psychlua/HScript.hx:398
hscript	gamepadJustPressed	source/psychlua/HScript.hx:405
hscript	gamepadPressed	source/psychlua/HScript.hx:412
hscript	gamepadReleased	source/psychlua/HScript.hx:419
hscript	getModSetting	source/psychlua/HScript.hx:357
hscript	getThemeColor	source/psychlua/HScript.hx:215
hscript	getThemeColorCount	source/psychlua/HScript.hx:224
hscript	getThemeColorKey	source/psychlua/HScript.hx:221
hscript	getThemeColorName	source/psychlua/HScript.hx:218
hscript	getThemeColors	source/psychlua/HScript.hx:227
hscript	getThemePanelFill	source/psychlua/HScript.hx:230
hscript	getThemeRowHighlight	source/psychlua/HScript.hx:233
hscript	getVar	source/psychlua/HScript.hx:468
hscript	hscriptVersion	source/psychlua/HScript.hx:350
hscript	insert	source/psychlua/HScript.hx:552
hscript	keyJustPressed	source/psychlua/HScript.hx:427
hscript	keyPressed	source/psychlua/HScript.hx:438
hscript	keyReleased	source/psychlua/HScript.hx:449
hscript	keyboardJustPressed	source/psychlua/HScript.hx:371
hscript	keyboardPressed	source/psychlua/HScript.hx:372
hscript	keyboardReleased	source/psychlua/HScript.hx:373
hscript	loadModTextFile	source/psychlua/HScript.hx:313
hscript	moveCamera	source/psychlua/HScript.hx:355
hscript	parentLua	source/psychlua/HScript.hx:535
hscript	parseTextConfig	source/psychlua/HScript.hx:330
hscript	remove	source/psychlua/HScript.hx:553
hscript	removeVar	source/psychlua/HScript.hx:474
hscript	screenHeight	source/psychlua/HScript.hx:352
hscript	screenWidth	source/psychlua/HScript.hx:351
hscript	setThemeColor	source/psychlua/HScript.hx:211
hscript	setVar	source/psychlua/HScript.hx:462
hscript	this	source/psychlua/HScript.hx:536
hscript	version	source/psychlua/HScript.hx:349
lua	FlxColor	source/psychlua/functions/MiscCommands.hx:64
lua	addAnimation	source/psychlua/functions/ObjectCommands.hx:157
lua	addAnimationByIndices	source/psychlua/functions/ObjectCommands.hx:170
lua	addAnimationByIndicesLoop	source/psychlua/DeprecatedFunctions.hx:14
lua	addAnimationByPrefix	source/psychlua/functions/ObjectCommands.hx:142
lua	addAnimationBySymbol	source/psychlua/FlxAnimateFunctions.hx:33
lua	addAnimationBySymbolIndices	source/psychlua/FlxAnimateFunctions.hx:50
lua	addCharacterToList	source/psychlua/functions/CharacterCommands.hx:16
lua	addHScript	source/psychlua/functions/ScriptCommands.hx:149
lua	addHealth	source/psychlua/functions/ScoreCommands.hx:62
lua	addHits	source/psychlua/functions/ScoreCommands.hx:26
lua	addInstance	source/psychlua/ReflectionFunctions.hx:166
lua	addLuaScript	source/psychlua/functions/ScriptCommands.hx:130
lua	addLuaSprite	source/psychlua/functions/ObjectCommands.hx:211
lua	addLuaText	source/psychlua/TextFunctions.hx:152
lua	addMisses	source/psychlua/functions/ScoreCommands.hx:21
lua	addOffset	source/psychlua/functions/ObjectCommands.hx:189
lua	addScore	source/psychlua/functions/ScoreCommands.hx:16
lua	anyGamepadJustPressed	source/psychlua/ExtraFunctions.hx:35
lua	anyGamepadPressed	source/psychlua/ExtraFunctions.hx:39
lua	anyGamepadReleased	source/psychlua/ExtraFunctions.hx:43
lua	callMethod	source/psychlua/ReflectionFunctions.hx:134
lua	callMethodFromClass	source/psychlua/ReflectionFunctions.hx:138
lua	callScript	source/psychlua/functions/ScriptCommands.hx:63
lua	cameraFade	source/psychlua/functions/CameraCommands.hx:33
lua	cameraFlash	source/psychlua/functions/CameraCommands.hx:29
lua	cameraSetTarget	source/psychlua/functions/CameraCommands.hx:16
lua	cameraShake	source/psychlua/functions/CameraCommands.hx:25
lua	cancelTimer	source/psychlua/functions/MiscCommands.hx:60
lua	cancelTween	source/psychlua/functions/ScriptTweens.hx:93
lua	characterDance	source/psychlua/functions/CharacterCommands.hx:81
lua	characterPlayAnim	source/psychlua/DeprecatedFunctions.hx:42
lua	checkFileExists	source/psychlua/ExtraFunctions.hx:170
lua	closeCustomSubstate	source/psychlua/CustomSubstate.hx:15
lua	createInstance	source/psychlua/ReflectionFunctions.hx:142
lua	debugPrint	source/psychlua/functions/MiscCommands.hx:80
lua	deleteFile	source/psychlua/ExtraFunctions.hx:207
lua	directoryFileList	source/psychlua/ExtraFunctions.hx:236
lua	doTweenAlpha	source/psychlua/functions/ScriptTweens.hx:69
lua	doTweenAngle	source/psychlua/functions/ScriptTweens.hx:65
lua	doTweenColor	source/psychlua/functions/ScriptTweens.hx:77
lua	doTweenX	source/psychlua/functions/ScriptTweens.hx:57
lua	doTweenY	source/psychlua/functions/ScriptTweens.hx:61
lua	doTweenZoom	source/psychlua/functions/ScriptTweens.hx:73
lua	endSong	source/psychlua/functions/PlayCommands.hx:55
lua	exitSong	source/psychlua/functions/PlayCommands.hx:68
lua	flushSaveData	source/psychlua/ExtraFunctions.hx:140
lua	gamepadAnalogX	source/psychlua/ExtraFunctions.hx:48
lua	gamepadAnalogY	source/psychlua/ExtraFunctions.hx:57
lua	gamepadJustPressed	source/psychlua/ExtraFunctions.hx:66
lua	gamepadPressed	source/psychlua/ExtraFunctions.hx:75
lua	gamepadReleased	source/psychlua/ExtraFunctions.hx:84
lua	getCharacterX	source/psychlua/functions/CharacterCommands.hx:37
lua	getCharacterY	source/psychlua/functions/CharacterCommands.hx:59
lua	getColorFromHex	source/psychlua/functions/MiscCommands.hx:76
lua	getColorFromName	source/psychlua/functions/MiscCommands.hx:68
lua	getColorFromString	source/psychlua/functions/MiscCommands.hx:72
lua	getDataFromSave	source/psychlua/ExtraFunctions.hx:148
lua	getGlobalFromScript	source/psychlua/functions/ScriptCommands.hx:78
lua	getGraphicMidpointX	source/psychlua/functions/ObjectCommands.hx:72
lua	getGraphicMidpointY	source/psychlua/functions/ObjectCommands.hx:83
lua	getHealth	source/psychlua/functions/ScoreCommands.hx:66
lua	getHits	source/psychlua/functions/ScoreCommands.hx:54
lua	getMidpointX	source/psychlua/functions/ObjectCommands.hx:50
lua	getMidpointY	source/psychlua/functions/ObjectCommands.hx:61
lua	getMisses	source/psychlua/functions/ScoreCommands.hx:50
